train_loss,val_loss,hour_acc,minute_acc,second_acc,full_time_acc
11.78802811940511,11.898625574613872,0.045,0.011666666666666667,0.025,0.0
11.500439198811849,11.481072927776136,0.041666666666666664,0.016666666666666666,0.015,0.0
11.462768847147624,11.472642145658794,0.06,0.011666666666666667,0.016666666666666666,0.0
11.35910883585612,11.298273036354466,0.058333333333333334,0.018333333333333333,0.025,0.0
10.8570357131958,10.644261611135382,0.16833333333333333,0.025,0.023333333333333334,0.0
9.330329259236654,9.064021763048673,0.43166666666666664,0.045,0.055,0.0
6.436859296162923,6.28288429661801,0.8683333333333333,0.13,0.235,0.028333333333333332
3.4671874682108563,2.969224716487684,0.9566666666666667,0.51,0.7333333333333333,0.36666666666666664
1.4859532324473064,1.3892392484765304,0.9666666666666667,0.8483333333333334,0.925,0.7533333333333333
0.5433480660120646,0.6113605844347101,0.9983333333333333,0.9466666666666667,0.97,0.9183333333333333
0.19409192522366842,0.28414684220364217,1.0,0.9883333333333333,0.9983333333333333,0.9866666666666667
0.10540823583801587,0.20031572486224927,1.0,0.9916666666666667,1.0,0.9916666666666667
0.05764424885312716,0.14576019229073273,1.0,0.9933333333333333,1.0,0.9933333333333333
0.04170214978357156,0.12017876968572014,1.0,0.995,1.0,0.995
0.03296040110290051,0.10084779168430127,1.0,0.9983333333333333,1.0,0.9983333333333333
0.025377664069334668,0.08359262072726299,1.0,0.9983333333333333,1.0,0.9983333333333333
0.020763821949561438,0.0742059651958315,1.0,0.9983333333333333,1.0,0.9983333333333333
0.018073407684763274,0.07141542297444846,1.0,0.9983333333333333,1.0,0.9983333333333333
0.015211754341920217,0.0646149780797331,1.0,0.9983333333333333,1.0,0.9983333333333333
0.01233639700959126,0.059874035810169424,1.0,0.9966666666666667,1.0,0.9966666666666667
0.011456959409018358,0.058475778389133905,1.0,1.0,1.0,1.0
0.01002082063506047,0.050912733826982345,1.0,1.0,1.0,1.0
